./sim < tests/agents.slang
testName time fitness gens maxGens agents groupsize e0 e1 e2 e3 e4 e5 e6 e7 e8 e9 e10
agentsTest 0.700000 1.000000 73 100 500 10 0 0 0.004 0.064 0.208 0.386 0.578 0.77 0.916 0.998 1
agentsTest 0.700000 1.000000 72 100 500 10 0 0 0.004 0.064 0.208 0.386 0.58 0.766 0.914 0.998 1
agentsTest 0.700000 1.000000 80 100 500 10 0 0 0.004 0.064 0.208 0.4 0.596 0.768 0.92 1 1
agentsTest 0.700000 1.000000 66 100 500 10 0 0 0.004 0.068 0.208 0.402 0.588 0.772 0.896 0.984 1
agentsTest 0.700000 1.000000 100 100 500 10 0 0 0.004 0.064 0.17 0.342 0.532 0.736 0.934 0.998 1
agentsTest 0.700000 1.000000 61 100 500 10 0 0 0.004 0.064 0.19 0.38 0.576 0.766 0.912 0.998 1
agentsTest 0.700000 1.000000 79 100 500 10 0 0 0.004 0.07 0.218 0.394 0.576 0.762 0.94 0.992 1
agentsTest 0.700000 1.000000 71 100 500 10 0 0 0.004 0.066 0.218 0.396 0.59 0.778 0.924 0.996 1
agentsTest 0.700000 1.000000 70 100 500 10 0 0 0.004 0.064 0.198 0.398 0.6 0.794 0.88 0.998 1
agentsTest 0.700000 1.000000 72 100 500 10 0 0 0.004 0.064 0.186 0.358 0.552 0.748 0.902 0.994 1
agentsTest 0.700000 1.000000 70 100 500 10 0 0 0.004 0.064 0.204 0.388 0.566 0.752 0.91 0.986 1
agentsTest 0.700000 1.000000 91 100 500 10 0 0 0.004 0.064 0.216 0.404 0.562 0.742 0.932 0.99 1
agentsTest 0.700000 1.000000 87 100 500 10 0 0 0.004 0.064 0.198 0.396 0.592 0.79 0.878 0.998 1
agentsTest 0.700000 1.000000 83 100 500 10 0 0 0.004 0.066 0.214 0.37 0.534 0.708 0.89 0.984 1
agentsTest 0.700000 1.000000 75 100 500 10 0 0 0.004 0.064 0.2 0.4 0.592 0.788 0.874 0.992 1
agentsTest 0.700000 1.000000 81 100 500 10 0 0 0.004 0.064 0.2 0.392 0.588 0.78 0.87 0.988 1
./sim < tests/agents2.slang
testName time fitness gens maxGens agents groupsize e0 e1 e2 e3 e4 e5 e6 e7 e8 e9 e10
agents2Test 0.700000 0.922000 100 100 500 10 0 0 0 0 0.028 0.154 0.34 0.534 0.726 0.91 0.922
agents2Test 0.700000 0.980000 100 100 500 10 0 0 0 0 0.036 0.192 0.344 0.556 0.784 0.96 0.98
agents2Test 0.700000 0.992000 100 100 500 10 0 0 0 0 0.026 0.156 0.362 0.604 0.828 0.992 0.992
agents2Test 0.700000 0.988000 100 100 500 10 0 0 0 0 0.034 0.174 0.358 0.632 0.862 0.97 0.988
agents2Test 0.700000 0.980000 100 100 500 10 0 0 0 0 0.036 0.202 0.398 0.644 0.85 0.97 0.98
agents2Test 0.700000 0.998000 100 100 500 10 0 0 0 0 0.028 0.162 0.366 0.574 0.818 0.976 0.998
agents2Test 0.700000 1.000000 99 100 500 10 0 0 0 0 0.038 0.208 0.414 0.678 0.92 0.994 1
agents2Test 0.700000 0.976000 100 100 500 10 0 0 0 0 0.026 0.134 0.346 0.582 0.788 0.968 0.976
agents2Test 0.700000 1.000000 90 100 500 10 0 0 0 0 0.03 0.172 0.418 0.71 0.928 1 1
agents2Test 0.700000 0.960000 100 100 500 10 0 0 0 0 0.028 0.136 0.314 0.538 0.764 0.922 0.96
agents2Test 0.700000 0.994000 100 100 500 10 0 0 0 0 0.036 0.194 0.404 0.626 0.83 0.988 0.994
agents2Test 0.700000 0.900000 100 100 500 10 0 0 0 0 0.026 0.124 0.296 0.494 0.686 0.88 0.9
agents2Test 0.700000 0.978000 100 100 500 10 0 0 0 0 0.03 0.17 0.36 0.606 0.856 0.982 0.978
agents2Test 0.700000 0.990000 100 100 500 10 0 0 0 0 0.03 0.166 0.382 0.662 0.89 0.972 0.99
agents2Test 0.700000 0.950000 100 100 500 10 0 0 0 0 0.026 0.154 0.33 0.528 0.722 0.904 0.95
agents2Test 0.700000 0.974000 100 100 500 10 0 0 0 0 0.04 0.162 0.334 0.598 0.844 0.958 0.974
agents2Test 0.700000 0.870000 100 100 500 10 0 0 0 0 0.018 0.126 0.292 0.482 0.666 0.858 0.87
agents2Test 0.700000 0.962000 100 100 500 10 0 0 0 0 0.028 0.152 0.322 0.554 0.772 0.942 0.962
agents2Test 0.700000 0.990000 100 100 500 10 0 0 0 0 0.024 0.166 0.344 0.564 0.764 0.96 0.99
agents2Test 0.700000 0.948000 100 100 500 10 0 0 0 0 0.024 0.134 0.318 0.54 0.768 0.934 0.948
agents2Test 0.700000 0.936000 100 100 500 10 0 0 0 0 0.032 0.154 0.336 0.538 0.748 0.924 0.936
agents2Test 0.700000 0.976000 100 100 500 10 0 0 0 0 0.034 0.16 0.32 0.582 0.838 0.95 0.976
agents2Test 0.700000 0.994000 100 100 500 10 0 0 0 0 0.036 0.188 0.418 0.666 0.91 0.988 0.994
agents2Test 0.700000 0.942000 100 100 500 10 0 0 0 0 0.024 0.138 0.33 0.534 0.746 0.936 0.942
agents2Test 0.700000 0.952000 100 100 500 10 0 0 0 0 0.032 0.158 0.344 0.574 0.794 0.914 0.952
agents2Test 0.700000 0.970000 100 100 500 10 0 0 0 0 0.032 0.17 0.356 0.56 0.78 0.964 0.97
agents2Test 0.700000 0.984000 100 100 500 10 0 0 0 0 0.032 0.148 0.37 0.61 0.852 0.968 0.984
agents2Test 0.700000 0.996000 100 100 500 10 0 0 0 0 0.032 0.152 0.374 0.616 0.838 0.99 0.996
agents2Test 0.700000 0.966000 100 100 500 10 0 0 0 0 0.028 0.168 0.354 0.55 0.756 0.942 0.966
agents2Test 0.700000 0.990000 100 100 500 10 0 0 0 0 0.034 0.182 0.382 0.652 0.876 0.972 0.99
agents2Test 0.700000 0.926000 100 100 500 10 0 0 0 0 0.022 0.142 0.326 0.512 0.71 0.882 0.926
agents2Test 0.700000 0.980000 100 100 500 10 0 0 0 0 0.032 0.184 0.372 0.648 0.878 0.98 0.98
agents2Test 0.700000 0.998000 100 100 500 10 0 0 0 0 0.032 0.186 0.392 0.69 0.912 0.972 0.998
agents2Test 0.700000 0.982000 100 100 500 10 0 0 0 0 0.03 0.174 0.346 0.574 0.814 0.976 0.982
agents2Test 0.700000 0.926000 100 100 500 10 0 0 0 0 0.022 0.14 0.324 0.52 0.73 0.912 0.926
