1435659.155	903349.230
1430346.626	908506.649
1424956.542	903484.952
1430307.849	903426.785
1433623.332	908467.871
1434457.050	907556.598
1441078.862	918814.099
1439158.111	918870.342
1443901.314	912814.790
1443882.566	909415.807
1443845.071	908122.206
1446507.264	908140.954
1441126.634	908234.693
1435614.769	908422.171
1441641.297	913109.131
1442588.966	912921.653
1435671.013	913634.071
1434818.606	913780.819
1433835.676	913820.426
1437755.773	913484.088
1441196.207	918309.239
1441171.033	917767.980
1441167.879	916095.662
1435731.006	914758.941
1435674.762	916159.405
1433425.022	914627.706
1441261.619	920283.929
1441224.123	921521.287
1441205.375	922171.837
1435712.258	914691.449
1435712.258	914485.223
1441130.384	910979.377
1440792.923	922828.011
1435637.267	911373.081
1435712.258	919003.452
1404116.294	910295.376
1403986.482	909354.239
1414401.170	910550.155
1435179.420	908465.875
1435619.980	908629.511
1436022.778	908402.938
1451291.320	901643.492
1451026.984	901152.583
1403499.687	909841.034
1404603.089	909808.581
1413971.693	910701.735
1414754.857	910853.315
1431352.866	910954.368
1433954.989	913000.698
1440717.885	917780.567
1442089.914	918296.651
1435091.308	908805.735
1436060.539	908088.252
1443260.545	903191.745
1444393.413	902474.262
1450523.487	901555.380
1452109.502	901064.471
1457109.502	901005.471
